Temperature_C,Humidity_%,Predicted_Lifespan_Months,Predicted_Lifespan_Days,Farmer_Action
48,71,0,16,0
34,23,0,22,0
33,35,0,20,0
32,55,0,17,0
30,39,0,19,0
32,49,0,25,0
33,55,0,17,0
30,72,0,23,0
17,71,0,19,0
34,29,0,15,0
35,58,0,16,0
34,50,0,16,0
34,73,0,21,0
31,84,0,22,0
36,74,0,21,0
34,50,0,24,0
31,51,0,20,0
31,82,0,18,0
23,74,0,23,0
31,57,0,28,0
32,71,0,23,0
33,81,0,20,0
35,38,0,27,0
33,40,0,28,0
33,59,0,22,0
39,73,0,19,0
30,44,0,26,0
44,73,0,22,0
30,74,0,27,0
32,41,0,19,0
45,74,0,19,0
34,80,0,26,0
37,73,0,19,0
11,74,0,21,0
33,73,0,17,0
31,70,0,29,0
34,39,0,23,0
45,71,0,28,0
30,76,0,22,0
33,81,0,18,0
11,71,0,22,0
33,50,0,25,0
31,27,0,19,0
32,41,0,19,0
34,40,0,19,0
37,73,0,22,0
43,75,0,19,0
17,70,0,17,0
34,31,0,27,0
30,35,0,16,0
31,56,0,17,0
32,25,0,18,0
30,52,0,21,0
34,56,0,15,0
12,71,0,26,0
32,44,0,23,0
14,74,0,17,0
16,73,0,17,0
31,56,0,17,0
35,72,0,17,0
13,71,0,26,0
21,71,0,19,0
35,72,0,25,0
20,70,0,27,0
31,32,0,28,0
42,73,0,26,0
31,29,0,21,0
32,45,0,23,0
32,41,0,19,0
32,45,0,22,0
31,34,0,21,0
30,42,0,28,0
31,74,0,17,0
43,72,0,18,0
18,71,0,26,0
14,70,0,16,0
31,22,0,25,0
31,57,0,18,0
31,25,0,21,0
11,73,0,16,0
18,72,0,28,0
37,71,0,26,0
40,71,0,23,0
32,77,0,19,0
34,58,0,23,0
32,72,0,24,0
24,73,0,19,0
46,73,0,29,0
30,78,0,29,0
11,73,0,21,0
31,76,0,17,0
24,73,0,27,0
45,71,0,20,0
34,22,0,22,0
30,23,0,17,0
48,74,0,22,0
35,73,0,20,0
18,71,0,20,0
23,73,0,21,0
25,71,0,24,0
31,35,0,19,0
34,22,1,29,0
13,71,0,22,0
30,78,0,29,0
31,56,0,19,0
33,55,0,16,0
34,35,0,29,0
32,55,0,21,0
40,70,0,20,0
42,71,0,29,0
15,71,0,22,0
33,36,0,27,0
36,73,0,26,0
36,73,0,16,0
17,75,0,28,0
49,70,0,25,0
33,42,0,15,0
31,71,0,18,0
31,76,0,17,0
34,26,0,28,0
36,72,0,28,0
33,84,0,29,0
31,44,0,23,0
33,25,0,17,0
20,70,0,27,0
32,25,0,20,0
44,74,0,27,0
21,74,0,25,0
32,78,0,15,0
32,49,0,26,0
35,58,0,16,0
33,41,0,24,0
31,84,0,28,0
30,35,0,16,0
12,75,0,21,0
33,39,0,26,0
33,33,0,21,0
38,74,0,23,0
30,22,0,26,0
31,77,0,24,0
34,43,0,19,0
34,23,0,17,0
33,73,0,17,0
30,41,0,19,0
33,54,0,21,0
33,76,0,28,0
32,46,0,26,0
21,74,0,25,0
31,36,0,24,0
30,80,0,24,0
31,78,0,20,0
30,44,0,26,0
32,48,0,21,0
33,48,0,18,0
44,70,0,23,0
45,74,0,15,0
15,71,0,22,0
32,79,0,27,0
31,52,0,16,0
34,75,0,17,0
13,70,0,19,0
31,28,0,19,0
25,72,0,21,0
31,48,0,26,0
34,75,0,26,0
33,39,0,26,0
30,49,0,15,0
32,58,0,18,0
30,28,0,20,0
32,24,0,16,0
37,71,0,26,0
30,77,0,17,0
34,70,0,27,0
11,70,0,27,0
33,24,0,27,0
31,35,0,19,0
33,53,0,22,0
33,72,0,18,0
30,37,0,24,0
30,80,0,24,0
15,70,0,28,0
36,74,0,26,0
43,73,0,16,0
33,31,0,20,0
42,71,0,21,0
37,73,0,19,0
32,48,0,25,0
24,73,0,20,0
34,75,0,26,0
10,71,0,19,0
30,79,0,20,0
32,77,0,23,0
31,24,0,18,0
15,74,0,18,0
32,78,0,15,0
31,75,0,24,0
33,39,0,26,0
31,28,0,29,0
33,31,0,25,0
33,39,0,16,0
32,70,0,15,0
30,49,0,27,0
30,33,0,23,0
18,71,0,22,0
30,84,0,26,0
39,73,0,15,0
15,70,0,24,0
32,32,0,23,0
24,71,0,21,0
33,58,0,19,0
33,83,0,20,0
32,48,0,21,0
32,49,0,26,0
34,58,0,23,0
18,71,0,20,0
19,71,0,25,0
32,36,0,23,0
30,27,0,29,0
31,35,0,23,0
12,75,0,21,0
32,73,0,25,0
31,84,0,24,0
17,70,0,24,0
30,21,0,23,0
23,74,0,29,0
30,49,0,23,0
32,45,0,27,0
32,37,0,16,0
16,71,0,22,0
10,70,0,17,0
32,52,0,19,0
20,73,0,19,0
15,71,0,16,0
44,71,0,22,0
10,70,0,17,0
33,45,0,23,0
32,76,0,24,0
34,49,0,16,0
46,71,0,29,0
33,29,0,28,0
30,70,0,24,0
30,33,0,26,0
14,74,0,17,0
48,74,0,24,0
31,53,0,19,0
20,71,0,23,0
31,83,0,29,0
30,45,0,20,0
46,73,0,19,0
32,83,0,28,0
30,28,0,15,0
30,41,0,23,0
34,34,0,21,0
32,47,0,19,0
34,29,0,15,0
33,21,0,26,0
33,59,0,22,0
32,23,0,29,0
34,71,0,20,0
30,44,0,19,0
30,47,0,24,0
34,52,0,17,0
30,73,0,15,0
20,73,0,28,0
16,71,0,15,0
33,50,0,28,0
34,28,0,24,0
34,33,0,22,0
34,47,0,20,0
15,72,0,17,0
32,44,0,26,0
31,76,0,24,0
46,71,0,29,0
39,70,0,20,0
33,44,0,27,0
32,26,0,29,0
14,72,0,17,0
20,71,0,28,0
34,56,0,18,0
44,71,0,22,0
13,73,0,26,0
18,74,0,16,0
36,74,0,21,0
33,37,0,17,0
32,36,0,17,0
30,24,0,20,0
31,47,0,19,0
45,70,0,23,0
31,84,0,24,0
33,76,0,27,0
31,74,0,17,0
31,44,0,23,0
31,49,0,23,0
33,37,0,24,0
31,39,0,18,0
33,73,0,17,0
32,20,0,26,0
22,73,0,16,0
32,50,0,19,0
32,72,0,24,0
37,71,0,16,0
37,70,0,21,0
33,58,0,27,0
32,39,0,25,0
33,73,0,23,0
42,73,0,15,0
33,47,0,24,0
30,83,0,27,0
33,39,0,23,0
33,59,0,23,0
34,20,0,20,0
14,74,0,27,0
23,73,0,27,0
33,23,0,29,0
13,71,0,22,0
33,53,0,17,0
33,28,0,24,0
32,52,0,16,0
13,73,0,27,0
10,74,0,23,0
20,71,0,23,0
31,82,0,18,0
33,23,0,29,0
34,80,0,25,0
31,78,0,29,0
30,77,0,18,0
30,27,0,17,0
16,74,0,27,0
47,71,0,26,0
32,33,0,16,0
31,30,0,23,0
32,25,0,20,0
18,70,0,21,0
31,70,0,28,0
34,75,0,25,0
32,75,0,18,0
34,28,0,17,0
48,73,0,21,0
33,77,0,26,0
14,70,0,16,0
33,33,0,28,0
33,23,0,25,0
34,24,0,28,0
18,71,0,15,0
34,73,0,21,0
32,38,0,17,0
15,74,0,18,0
39,73,0,15,0
47,73,0,29,0
13,70,0,24,0
31,31,0,17,0
34,38,0,20,0
30,24,0,26,0
32,51,0,26,0
32,78,0,15,0
31,51,0,18,0
30,42,0,23,0
30,80,0,28,0
20,70,0,23,0
24,72,0,17,0
30,49,0,26,0
42,71,0,29,0
33,82,0,21,0
34,40,0,18,0
31,49,0,20,0
33,77,0,16,0
23,74,0,25,0
32,48,0,20,0
30,77,0,18,0
34,74,0,19,0
34,48,0,25,0
34,79,0,26,0
30,52,0,21,0
22,72,0,23,0
32,40,0,15,0
33,34,0,17,0
31,72,0,24,0
30,56,0,24,0
32,21,0,29,0
30,73,0,19,0
20,70,0,28,0
19,71,0,25,0
33,55,0,20,0
33,72,0,22,0
16,74,0,27,0
43,74,0,27,0
44,73,0,20,0
30,26,0,20,0
23,72,0,20,0
34,75,0,17,0
31,59,0,16,0
34,40,0,29,0
12,71,0,26,0
31,74,0,16,0
46,71,0,16,0
33,25,0,17,0
35,45,0,21,0
33,81,0,20,0
38,74,0,17,0
21,73,0,18,0
21,73,0,25,0
34,57,0,26,0
21,70,0,17,0
41,72,0,29,0
32,48,0,19,0
20,72,0,15,0
31,76,0,24,0
32,45,0,16,0
31,78,0,29,0
42,71,0,21,0
33,77,0,25,0
14,70,0,19,0
34,43,0,21,0
46,73,0,19,0
32,24,0,15,0
16,73,0,15,0
33,73,0,17,0
34,81,0,22,0
34,44,0,20,0
30,51,0,15,0
31,52,0,16,0
33,80,0,15,0
49,70,0,24,0
33,54,0,21,0
30,59,0,18,0
34,75,0,26,0
48,71,0,16,0
30,41,0,22,0
31,33,0,15,0
33,59,0,26,0
31,81,0,24,0
32,28,0,16,0
19,74,0,23,0
34,50,0,26,0
12,75,0,21,0
17,70,0,20,0
49,73,0,25,0
31,31,0,17,0
34,23,0,22,0
46,72,0,19,0
32,26,0,29,0
34,35,0,28,0
32,43,0,21,0
22,70,0,15,0
34,31,0,23,0
11,72,0,20,0
33,58,0,27,0
23,73,0,19,0
34,21,0,22,0
36,73,0,17,0
21,74,0,24,0
30,59,0,18,0
13,73,0,26,0
21,73,0,18,0
21,71,0,19,0
31,70,0,24,0
30,31,0,16,0
34,24,0,27,0
20,71,0,18,0
30,35,0,16,0
34,41,0,15,0
16,73,0,28,0
31,41,0,25,0
33,79,0,24,0
21,73,0,17,0
31,25,0,29,0
32,30,0,17,0
32,39,0,16,0
33,59,0,22,0
11,72,0,28,0
31,76,0,17,0
42,74,0,19,0
47,73,0,29,0
12,75,0,21,0
34,24,0,27,0
45,75,0,28,0
32,48,0,16,0
30,35,0,19,0
33,75,0,19,0
14,71,0,15,0
30,20,0,16,0
33,73,0,26,0
32,24,0,24,0
34,53,0,24,0
46,73,0,19,0
46,73,0,23,0
32,80,0,28,0
17,72,0,20,0
34,31,0,24,0
31,48,0,26,0
34,48,0,25,0
34,80,0,25,0
32,70,0,15,0
31,52,0,16,0
33,28,0,18,0
15,73,0,25,0
34,28,0,22,0
34,84,0,18,0
47,70,0,23,0
34,39,0,26,0
34,33,0,17,0
32,24,0,22,0
44,71,0,24,0
34,20,0,18,0
34,40,0,21,0
21,70,0,17,0
38,73,0,18,0
15,74,0,19,0
13,72,0,21,0
33,25,0,17,0
34,82,0,26,0
20,71,0,23,0
34,23,0,25,0
30,54,0,18,0
34,80,0,25,0
34,52,0,25,0
32,52,0,26,0
24,73,0,20,0
30,46,0,18,0
33,76,0,28,0
11,73,0,21,0
34,51,0,16,0
43,73,0,16,0
13,73,0,26,0
10,72,0,16,0
32,34,0,25,0
30,30,0,16,0
11,72,0,20,0
44,74,0,23,0
34,39,0,28,0
31,25,0,24,0
17,71,0,19,0
49,70,0,25,0
20,71,0,18,0
30,74,0,19,0
30,30,0,23,0
34,83,0,21,0
30,73,0,20,0
32,45,0,25,0
44,73,0,22,0
31,44,0,18,0
33,20,0,15,0
31,71,0,21,0
30,35,0,25,0
35,49,0,19,0
32,48,0,19,0
39,73,0,15,0
33,23,0,29,0
34,52,0,17,0
39,71,0,15,0
32,37,0,17,0
31,41,0,22,0
46,71,0,18,0
31,27,0,22,0
42,73,0,17,0
32,84,0,29,0
30,74,0,27,0
49,74,0,15,0
30,50,0,16,0
14,71,0,27,0
32,43,0,21,0
14,71,0,20,0
32,70,0,21,0
40,70,0,20,0
22,73,0,27,0
18,73,0,29,0
33,44,0,15,0
30,30,0,16,0
33,81,0,20,0
30,44,0,19,0
36,71,0,27,0
30,35,0,25,0
40,70,0,25,0
34,72,0,15,0
34,74,0,18,0
30,71,0,20,0
33,35,0,18,0
31,25,0,21,0
25,71,0,24,0
34,25,0,20,0
31,36,0,24,0
32,20,0,26,0
42,74,0,29,0
32,80,0,23,0
37,70,0,21,0
30,35,0,16,0
21,72,0,15,0
33,78,0,23,0
34,33,0,22,0
49,70,0,25,0
35,71,0,29,0
33,58,0,19,0
31,29,0,21,0
34,39,0,23,0
42,73,0,15,0
34,28,0,24,0
31,42,0,27,0
33,40,0,19,0
36,70,0,20,0
33,43,0,19,0
30,21,0,24,0
20,72,0,16,0
33,41,0,18,0
33,50,0,28,0
32,32,0,15,0
18,73,0,19,0
31,80,0,24,0
33,46,0,15,0
33,22,0,27,0
39,73,0,19,0
31,33,0,15,0
31,78,0,29,0
11,72,0,18,0
34,32,0,28,0
30,75,0,18,0
30,75,0,16,0
31,28,0,23,0
16,71,0,23,0
32,74,0,15,0
18,73,0,17,0
31,43,0,16,0
34,20,0,25,0
16,71,0,23,0
45,71,0,20,0
40,70,0,20,0
34,76,0,27,0
31,28,0,23,0
11,73,0,21,0
34,84,0,27,0
15,72,0,18,0
43,71,0,19,0
30,44,0,22,0
21,70,0,17,0
45,71,0,23,0
34,33,0,22,0
30,40,0,19,0
48,73,0,24,0
36,72,0,23,0
32,39,0,27,0
32,70,0,21,0
10,71,0,19,0
21,75,0,20,0
30,83,0,15,0
22,73,0,16,0
41,74,0,23,0
23,72,0,21,0
32,40,0,15,0
30,50,0,29,0
33,73,0,24,0
30,30,0,18,0
17,71,0,23,0
34,78,0,28,0
30,31,0,16,0
30,84,0,20,0
43,74,0,29,0
33,83,0,29,0
49,73,0,18,0
41,72,0,20,0
30,54,0,18,0
32,53,0,17,0
30,74,0,17,0
34,25,0,29,0
12,75,0,21,0
32,34,0,25,0
32,45,0,22,0
33,54,0,15,0
32,39,0,25,0
33,83,0,20,0
34,52,0,17,0
48,73,0,24,0
31,24,0,20,0
46,73,0,24,0
33,58,0,22,0
18,71,0,15,0
30,20,0,16,0
33,75,0,26,0
32,45,0,25,0
30,43,0,25,0
46,71,0,16,0
16,71,0,23,0
34,43,0,19,0
34,32,0,24,0
31,81,0,24,0
33,82,0,15,0
39,70,0,20,0
30,44,0,19,0
33,25,0,29,0
40,71,0,22,0
11,70,0,28,0
33,25,0,17,0
32,33,0,16,0
34,73,0,27,0
39,73,0,19,0
48,72,0,24,0
31,35,0,16,0
33,77,0,17,0
33,23,0,25,0
19,72,0,24,0
46,70,0,25,0
42,71,0,21,0
30,51,0,26,0
31,24,0,20,0
44,73,0,18,0
35,70,0,19,0
32,36,0,17,0
36,73,0,20,0
30,43,0,27,0
35,77,0,22,0
48,73,0,28,0
37,71,0,26,0
36,72,0,28,0
40,71,0,23,0
34,26,0,24,0
32,25,0,25,0
33,59,0,23,0
34,25,0,20,0
30,84,0,20,0
31,84,0,22,0
33,51,0,23,0
33,52,0,16,0
37,72,0,21,0
33,76,0,28,0
25,71,0,24,0
31,41,0,17,0
20,73,0,20,0
44,73,0,18,0
19,73,0,17,0
10,71,0,19,0
34,28,0,28,0
32,75,0,29,0
33,52,0,16,0
34,46,0,23,0
30,53,0,26,0
34,84,0,17,0
48,74,0,19,0
15,74,0,18,0
34,81,0,21,0
34,28,0,28,0
31,75,0,24,0
30,57,0,29,0
30,28,0,15,0
33,59,0,23,0
30,36,0,24,0
46,70,0,17,0
30,23,0,20,0
33,35,0,22,0
10,70,0,22,0
34,49,0,16,0
24,73,0,20,0
34,47,0,18,0
36,70,0,20,0
48,74,0,24,0
14,71,0,27,0
34,81,0,21,0
34,33,0,15,0
34,76,1,29,0
32,49,0,19,0
30,39,0,22,0
33,38,0,17,0
17,73,0,19,0
32,32,0,21,0
33,78,0,19,0
30,41,0,22,0
22,71,1,29,0
24,72,0,27,0
48,72,0,24,0
17,70,0,17,0
22,73,0,25,0
10,70,0,22,0
17,71,0,22,0
10,70,0,22,0
34,49,0,21,0
32,24,0,16,0
32,24,0,16,0
32,59,0,27,0
13,71,0,24,0
36,71,0,27,0
38,71,0,21,0
34,80,0,25,0
33,28,0,19,0
31,34,0,21,0
41,74,0,23,0
30,77,0,24,0
33,70,0,18,0
36,74,0,21,0
49,75,0,27,0
32,42,0,16,0
33,37,0,17,0
35,71,0,29,0
35,71,0,20,0
33,36,0,17,0
34,72,0,20,0
34,26,0,28,0
24,71,0,21,0
34,76,1,29,0
34,32,0,24,0
30,78,0,20,0
34,42,0,22,0
34,84,0,17,0
37,70,0,21,0
35,45,0,16,0
10,70,0,20,0
45,71,0,17,0
47,73,0,25,0
31,42,0,26,0
31,34,0,20,0
23,73,0,27,0
32,53,0,21,0
32,39,0,22,0
34,20,0,26,0
30,47,0,20,0
36,71,0,21,0
16,70,0,23,0
11,74,0,27,0
34,74,0,21,0
21,70,0,17,0
32,30,0,21,0
33,31,0,16,0
32,29,0,24,0
30,51,0,16,0
32,57,0,27,0
20,70,0,20,0
20,70,0,23,0
31,53,0,21,0
14,74,0,23,0
31,50,0,25,0
14,74,0,17,0
18,72,0,18,0
49,70,0,28,0
20,70,0,20,0
21,71,0,19,0
30,26,0,29,0
34,33,0,22,0
10,71,0,25,0
30,29,0,23,0
32,25,0,25,0
30,80,0,24,0
35,72,0,18,0
14,71,0,27,0
43,74,0,23,0
33,59,0,22,0
20,73,0,20,0
34,50,0,26,0
31,26,0,27,0
32,70,0,15,0
33,35,0,20,0
31,53,0,21,0
32,45,0,25,0
46,73,0,19,0
34,21,0,22,0
44,73,0,22,0
31,52,0,26,0
33,28,0,24,0
17,73,0,19,0
40,71,0,29,0
31,54,0,20,0
40,71,0,16,0
22,70,0,15,0
32,41,0,29,0
32,27,0,15,0
31,28,0,19,0
33,59,0,26,0
31,20,0,26,0
33,36,0,17,0
46,73,0,23,0
41,70,0,23,0
33,78,0,19,0
33,73,0,18,0
33,78,0,19,0
32,30,0,22,0
34,73,0,27,0
31,29,0,16,0
32,43,0,21,0
24,73,0,25,0
33,49,0,28,0
23,70,0,29,0
31,42,0,22,0
45,70,0,23,0
10,72,0,15,0
31,50,0,29,0
43,74,0,29,0
44,73,0,22,0
40,70,0,24,0
32,60,0,18,0
22,73,0,16,0
34,80,0,26,0
33,82,0,21,0
46,73,0,24,0
41,72,0,28,0
33,78,0,16,0
10,74,0,20,0
31,22,0,24,0
36,72,0,28,0
31,72,0,24,0
37,71,0,16,0
35,53,0,28,0
40,71,0,22,0
31,42,0,26,0
32,39,0,25,0
30,24,0,21,0
30,28,0,15,0
33,22,0,16,0
33,24,0,17,0
31,50,0,27,0
30,46,0,28,0
23,70,0,21,0
31,82,0,19,0
32,28,0,16,0
34,48,0,25,0
22,73,0,20,0
37,72,0,27,0
46,72,0,24,0
33,51,0,23,0
37,70,0,17,0
23,74,0,23,0
30,51,0,26,0
33,25,0,17,0
47,70,0,21,0
40,74,0,20,0
33,21,0,26,0
42,74,0,29,0
43,72,0,29,0
30,55,0,17,0
33,26,0,27,0
32,58,0,18,0
30,47,0,20,0
34,24,0,28,0
30,35,0,25,0
33,22,0,27,0
33,78,0,17,0
33,26,0,21,0
16,74,0,27,0
31,22,0,25,0
34,74,0,21,0
11,70,0,26,0
33,49,0,18,0
35,72,0,25,0
16,74,0,21,0
32,59,0,16,0
33,82,0,15,0
31,78,0,29,0
16,71,0,15,0
30,56,0,24,0
37,72,0,21,0
32,30,0,26,0
30,78,0,29,0
22,74,1,29,0
45,74,0,15,0
43,74,0,20,0
44,73,0,20,0
32,39,0,27,0
22,71,0,29,0
44,70,0,25,0
32,59,0,27,0
15,74,0,19,0
33,25,0,17,0
34,52,0,17,0
30,32,0,28,0
17,73,0,26,0
48,74,0,24,0
34,40,0,16,0
22,74,0,26,0
37,72,0,21,0
34,73,0,17,0
22,74,0,15,0
31,76,0,20,0
31,27,0,19,0
36,73,0,20,0
45,71,0,18,0
34,47,0,27,0
31,59,0,23,0
30,24,0,21,0
34,39,0,26,0
30,44,0,22,0
31,78,0,29,0
33,38,0,16,0
44,73,0,22,0
36,71,0,24,0
31,44,0,23,0
18,71,0,20,0
23,73,0,19,0
34,25,0,20,0
12,73,0,21,0
10,71,0,19,0
33,31,0,16,0
34,53,0,29,0
30,46,0,18,0
33,37,0,24,0
32,39,0,16,0
31,78,0,24,0
14,74,0,23,0
33,26,0,21,0
33,21,0,26,0
35,72,0,16,0
30,58,0,25,0
32,80,0,28,0
45,73,0,20,0
31,46,0,29,0
32,23,0,29,0
31,84,0,21,0
34,78,0,27,0
33,78,0,23,0
17,74,0,23,0
34,74,0,25,0
33,58,0,22,0
33,44,0,27,0
15,71,0,20,0
31,84,0,24,0
31,23,0,27,0
40,71,0,16,0
32,41,0,19,0
43,72,0,22,0
31,71,0,15,0
31,49,0,23,0
32,46,0,26,0
46,73,0,19,0
24,73,0,19,0
35,54,0,24,0
31,36,0,18,0
34,33,0,26,0
33,49,0,17,0
30,52,0,24,0
30,22,0,21,0
31,26,0,27,0
33,82,0,21,0
49,71,0,21,0
44,73,0,22,0
13,73,0,21,0
24,73,0,20,0
49,72,0,19,0
33,54,0,15,0
42,74,0,29,0
16,70,0,23,0
48,71,0,16,0
18,71,0,15,0
11,71,0,22,0
13,73,0,17,0
32,20,0,26,0
34,40,0,18,0
30,50,0,26,0
33,77,0,22,0
30,74,0,18,0
30,55,0,15,0
32,49,0,24,0
16,74,0,27,0
20,73,0,20,0
32,74,0,23,0
40,70,0,25,0
33,73,0,18,0
32,45,0,24,0
32,48,0,16,0
34,27,0,26,0
15,72,0,22,0
31,45,0,22,0
15,72,0,22,0
37,70,0,21,0
30,21,0,18,0
11,72,1,29,0
31,33,0,29,0
11,71,0,22,0
48,72,0,24,0
11,71,0,23,0
32,82,0,19,0
30,28,0,18,0
34,42,0,22,0
37,73,0,19,0
34,33,0,15,0
34,20,0,19,0
34,40,0,18,0
33,36,0,27,0
33,54,0,15,0
19,72,0,21,0
37,73,0,19,0
33,77,0,16,0
40,70,0,25,0
34,26,0,28,0
32,36,0,23,0
35,72,0,18,0
34,24,0,27,0
30,80,0,28,0
33,76,0,15,0
30,24,0,26,0
36,73,0,23,0
39,75,0,20,0
31,84,0,24,0
33,21,0,26,0
30,34,0,29,0
34,71,0,29,0
31,49,0,23,0
33,27,0,20,0
32,29,0,27,0
17,74,0,22,0
32,70,0,15,0
11,74,0,15,0
32,29,0,17,0
33,59,0,23,0
31,31,0,17,0
33,70,0,18,0
47,72,0,24,0
47,71,0,28,0
39,70,0,20,0
38,72,0,20,0
34,54,0,22,0
33,38,0,16,0
20,74,0,21,0
40,70,0,21,0
32,55,0,17,0
12,74,0,24,0
32,42,0,16,0
13,71,0,22,0
24,73,0,20,0
30,30,0,23,0
32,77,0,15,0
13,73,0,23,0
31,27,0,22,0
19,70,0,18,0
34,47,0,17,0
33,73,0,23,0
38,73,0,18,0
30,79,0,21,0
30,79,0,27,0
31,31,0,16,0
30,24,0,21,0
33,27,0,21,0
30,39,0,26,0
32,44,0,26,0
32,52,0,16,0
34,74,0,24,0
33,44,0,27,0
47,72,0,21,0
31,54,0,20,0
33,51,0,23,0
36,73,0,27,0
36,73,0,23,0
32,73,0,16,0
46,73,0,19,0
32,72,0,19,0
33,33,0,21,0
30,77,0,17,0
15,71,0,19,0
31,35,0,19,0
30,74,0,19,0
48,73,0,28,0
34,33,0,26,0
30,30,0,23,0
43,75,0,19,0
32,27,0,15,0
34,74,0,19,0
30,76,0,22,0
34,44,0,20,0
32,37,0,16,0
30,31,0,16,0
38,74,0,17,0
33,83,0,29,0
30,24,0,20,0
41,72,0,28,0
49,70,0,28,0
12,72,0,28,0
33,75,0,19,0
30,49,0,27,0
32,42,0,15,0
32,45,0,16,0
31,44,0,21,0
46,71,0,18,0
32,53,0,17,0
33,49,0,18,0
39,70,0,15,0
34,52,0,17,0
20,72,0,16,0
30,41,0,20,0
30,79,0,29,0
31,51,0,18,0
30,55,0,26,0
35,77,0,22,0
10,71,1,29,0
33,52,0,16,0
35,72,0,17,0
30,29,0,15,0
31,40,0,15,0
39,75,0,20,0
32,23,0,26,0
38,74,0,17,0
21,72,0,15,0
34,37,0,24,0
32,83,0,28,0
32,21,0,26,0
32,24,0,24,0
34,71,0,24,0
31,70,0,24,0
20,73,0,19,0
22,72,0,23,0
13,72,0,21,0
33,27,0,24,0
15,71,0,25,0
32,57,0,16,0
43,72,0,29,0
31,43,0,16,0
38,74,0,15,0
31,56,0,17,0
31,48,0,19,0
30,43,0,28,0
40,74,0,20,0
23,73,0,27,0
34,73,0,15,0
34,84,0,27,0
31,31,0,24,0
17,74,0,23,0
32,50,0,16,0
30,43,0,25,0
30,48,0,21,0
17,74,0,25,0
44,72,0,23,0
31,31,0,24,0
13,71,0,24,0
30,75,0,18,0
31,54,0,24,0
18,71,0,20,0
33,46,0,15,0
32,26,0,22,0
32,44,0,26,0
30,28,0,15,0
34,42,0,19,0
